Field,Bad,Good
Coverage Geographic,"Takaroa, Marquesas Islands. French Polynesia. South Pacific Ocean","Takaroa, Marquesas Islands, French Polynesia, South Pacific Ocean"
Coverage Geographic,"Talandrano, Madagascar","Talandrano, Madagascar"
Coverage Geographic,"Tamalpais, Mount (Calif.)","Mount Tamalpais, California"
Coverage Geographic,"Tana, near, Madagascar","Antananarivo, Madagascar"
Coverage Geographic,"Tananarive to Betroka, Madagascar","Antananarivo to Betroka, Madagascar"
Coverage Geographic,"Tananarive to Fort Dauphin, Madagascar","Antananarivo to Fort Dauphin, Madagascar"
Coverage Geographic,"Tanzania, Africa","Tanzania, Africa"
Coverage Geographic,Tasmania,Tasmania
Coverage Geographic,"Tatsimo Peak. Zazafotsy, north of, Madagascar","Tatsimo Peak, Zazafotsy, Madagascar"
Coverage Geographic,"Taugus Cove, Isabela Island, Galapagos","Isabela (Albemarle) Island, Galapagos Islands"
Coverage Geographic,"Teriu Bay, Moorea Island. French Polynesia.","Teriu Bay, Moorea Island, French Polynesia"
Coverage Geographic,"Teriu Bay, Moorea Island. Society Islands. French Polynesia.","Teriu Bay, Moorea Island, French Polynesia"
Coverage Geographic,Texas,Texas
Coverage Geographic,Tiburon (Calif.),"Tiburon, California"
Coverage Geographic,"Togo, Africa","Togo, Africa"
Coverage Geographic,"Toledo, Spain","Toledo, Spain"
Coverage Geographic,"Tongariki and Hutuiti Landing, Easter Island (Rapa Nui), Chile","Tongariki and Hotuiti Landing, Easter Island (Rapa Nui), Chile"
Coverage Geographic,Tower Island,"Genovesa (Tower) Island, Galapagos Islands"
Coverage Geographic,"Tower Island, Galapagos","Genovesa (Tower) Island, Galapagos Islands"
Coverage Geographic,"Tower Island, Galapagos Islands","Genovesa (Tower) Island, Galapagos Islands"
Coverage Geographic,"Tower Island, Galapagos Islands. (Genovesa Island)","Genovesa (Tower) Island, Galapagos Islands"
Coverage Geographic,"Tower Island, Galapagos. (Genovesa Island)","Genovesa (Tower) Island, Galapagos Islands"
Coverage Geographic,Tower Island? Galapagos,"Genovesa (Tower) Island, Galapagos Islands"
Coverage Geographic,"Treasure Island (San Francisco County, Calif.)","Treasure Island, San Francisco County, California"
Coverage Geographic,Trinity Alps (Calif.),"Trinity Alps, California"
Coverage Geographic,Tropical Indo-Pacific,Tropical Indo-Pacific
Coverage Geographic,Tropical Pacific,Tropical Pacific
Coverage Geographic,tropical western Pacific,Tropical Western Pacific
Coverage Geographic,Tropical Western Pacific,Tropical Western Pacific
Coverage Geographic,"Tsiombe, Madagascar","Tsiombe, Madagascar"
Coverage Geographic,"Tsy Ada Idirana Priv. Reserve, Madagascar","Tsy Ado Idirana Private Reserve, Fort Dauphin, Madagascar"
Coverage Geographic,"Tsy Ado Idirana Priv. Reserve, Madagascar","Tsy Ado Idirana Private Reserve, Fort Dauphin, Madagascar"
Coverage Geographic,"Tsy Ado Idirana Private Reserve, 10 km. west of Fort Dauphin, Madagascar","Tsy Ado Idirana Private Reserve, Fort Dauphin, Madagascar"
Coverage Geographic,"Tucopia Island, Santa Cruz Islands. Solomon Islands.","Tucopia Island, Santa Cruz Islands, Solomon Islands"
Coverage Geographic,"Tulear, leaving, Madagascar","Tulear, Madagascar"
Coverage Geographic,"Tulear, Madagascar","Tulear, Madagascar"
Coverage Geographic,"Tunisia, Africa","Tunisia, Africa"
Coverage Geographic,"Tzimbazaza Park, Madagascar","Tsimbazaza Park, Madagascar"
Coverage Geographic,Ugi Island,Ugi Island
Coverage Geographic,Ukiah (Calif.),"Ukiah, California"
Coverage Geographic,Unidentified,
Coverage Geographic,United States,United States
Coverage Geographic,Unknown,
Coverage Geographic,Upolu Island. Western Samoa. South Pacific Ocean,"Upolu Island, Western Samoa, South Pacific Ocean"
Coverage Geographic,"Usambara Mountains, Tanzania, Africa","Usambara Mountains, Tanzania, Africa"
Coverage Geographic,Utah,Utah
Coverage Geographic,"Valley of Palms, west of Isalo Park on Highway #7, Madagascar","Valley of Palms, Isalo Park, Madagascar"
Coverage Geographic,"Valparaiso, Chile","Valparaiso, Chile"
Coverage Geographic,Vermont,Vermont
Coverage Geographic,"Villamil Mountain, Albemarle Island, Galapagos. (Isabela Island)","Isabela (Albemarle) Island, Galapagos Islands"
Coverage Geographic,Wainwright (Alaska),"Wainwright, Alaska"
Coverage Geographic,Washington,Washington
Coverage Geographic,West Africa,West Africa
Coverage Geographic,"West Coast, Madagascar, Africa","West Coast, Madagascar, Africa"
Coverage Geographic,"West of Andohaela Reserve #11 on road to Berenty Reserve, Madagascar","Andohahela Reserve, Berenty Reserve, Madagascar"
Coverage Geographic,"west of Isalo Park on road to Sakaraha from Ranohira, Madagascar","Isalo Park, Sakaraha, Ranohira, Madagascar"
Coverage Geographic,"west of Ranopisa enroute to Berenty Reserve, Madagascar","Ranopisa, Berenty Reserve, Madagascar"
Coverage Geographic,"West of Ranopisa on road to Berenty Reserve, Madagascar","Ranopisa, Berenty Reserve, Madagascar"
Coverage Geographic,"Western Highlands Province, Papua New Guinea","Western Highlands Province, Papua New Guinea"
Coverage Geographic,"Western Kenya, Africa","Western Kenya, Africa"
Coverage Geographic,"Western Kenya, Kakamega Forest, Africa","Western Kenya, Kakamega Forest, Africa"
Coverage Geographic,"Western Kenya, Kakamega Forest, Kenya, Africa","Western Kenya, Kakamega Forest, Africa"
Coverage Geographic,"Western Kenya, Lake Victoria, Africa","Western Kenya, Lake Victoria, Africa"
Coverage Geographic,Western Pacific,Western Pacific
Coverage Geographic,Western Samoa.   South Pacific Ocean,"Western Samoa, South Pacific Ocean"
Coverage Geographic,"Western Samoa. (Near Apia, Upolu Island). South Pacific Ocean","Western Samoa, Apia, Upolu Island, South Pacific Ocean"
Coverage Geographic,"Wreck Bay, Chatham Island, Galapagos Island, Ecuador","San Cristobal (Chatham) Island, Galapagos Islands"
Coverage Geographic,"Wreck Bay, Chatham Island, Galapagos Islands, Ecuador","San Cristobal (Chatham) Island, Galapagos Islands"
Coverage Geographic,Yellowstone National Park,Yellowstone National Park
Coverage Geographic,"Yongamugl Area, Papua New Guinea","Yongamugl, Papua New Guinea"
Coverage Geographic,Yosemite National Park (Calif.),"Yosemite National Park, California"
Coverage Geographic,Yosemite National Park (Calif.),"Yosemite National Park, California"
Coverage Geographic,"Zambia, Africa","Zambia, Africa"
Coverage Geographic,"Zimbabwe, Africa","Zimbabwe, Africa"
Creator,"  Arnold, Charles E.","Arnold, Charles E."
Creator,"  Cunningham, Imogene","Cunningham, Imogen"
Creator,  Jul 1971 -Oct 1972,
Creator,"  Liebes, Arnold Lloyd, 1889-","Liebes, Arnold Lloyd"
Creator,"  Pearse, F. Owen","Pearse, F. Owen"
Creator,"  Pillsbury, Edwin","Pillsbury, Edwin"
Creator,  Unknown,Unknown
Creator,  V.G. Smith 08 May 2001,"Smith, V.G."
Creator,"  Williams, Woody","Williams, Milo Woodbridge"
Creator," ""Fisher, Brian L.""","Fisher, Brian L."
Creator, A Wilsen,A. Wilsen
Creator, A. Adams and G. French Angas,"Adams, A.; Angas, G. French"
Creator, A. H. Baldwin,"Baldwin, A. H."
Creator, A.G. Smith  A.E. Leviton 11 Jan 1959,"Smith, Allyn Goodwin"
Creator, A.G. Smith 15 Feb 1964,"Smith, Allyn Goodwin"
Creator, A.G. Smith 9 Jul 1929,"Smith, Allyn Goodwin"
Creator, A.J. Ferreira ? 20 May 1978 ?,"Ferreira, Antonio J."
Creator, A.J. Ferreira ? 23 May 1978 ?,"Ferreira, Antonio J."
Creator, A.J. Ferreira ? Jun 1970,"Ferreira, Antonio J."
Creator, A.J. Ferreira [?] on R/V Searcher 13 Feb 1972,"Ferreira, Antonio J."
Creator, A.J. Ferreira 12 Nov 1972,"Ferreira, Antonio J."
Creator, A.J. Ferreira Aug 1971,"Ferreira, Antonio J."
Creator, A.J. Ferreira Mar 1971,"Ferreira, Antonio J."
Creator, A.J. Ferreira on R/V Marisla Oct 1970,"Ferreira, Antonio J."
Creator, Acme Newspictures,Acme Newspictures
Creator, Alan J. Galloway 16 Dec 1964,"Galloway, Alan James"
Creator, All photos made on same trip by R.T. Orr or Cecil Tose.,"Orr, Robert Thomas; Tose, Cecil"
Creator," Almeda, Frank","Almeda, Frank"
Creator," Anderson, F.","Anderson, Frank Marion"
Creator, Andre  Jacqueline DeRoy 28 Dec 1966,"DeRoy, Andre Jacqueline"
Creator, Andrew McCormick,"McCormick, Andrew"
Creator," Animate creation : popular edition of ""Our living world"" : a natural history / by J.G. Wood. QL50 .W882 1885 Folio. Plate 464.","Wood, J.G."
Creator, Antonio J. Ferreira 11 Jul 1980,"Ferreira, Antonio J."
Creator, Antonio J. Ferreira 1-5 Jan 1976,"Ferreira, Antonio J."
Creator," Antonio J. Ferreira 28 Apr, 1 May 1975","Ferreira, Antonio J."
Creator, Antonio J. Ferreira Oct 1970,"Ferreira, Antonio J."
Creator," Apted, Dorothy","Apted, Dorothy"
Creator," Arnold, Charles E.","Arnold, Charles E."
Creator," Arroniz, H.","Arroniz, J."
Creator," Arroniz, J.","Arroniz, J."
Creator," Asaeda, Toshio","Asaeda, Toshio"
Creator," Asaeda, Toshio, 1893-1968","Asaeda, Toshio"
Creator," Asaeda, Toshio, 1893-1969","Asaeda, Toshio"
Creator," Asaeda, Toshio, 1893-1970","Asaeda, Toshio"
Creator," Asaeda, Toshio, 1893-1971","Asaeda, Toshio"
Creator," Asaeda, Toshio, 1893-1972","Asaeda, Toshio"
Creator," Asaeda, Toshio, 1893-1973","Asaeda, Toshio"
Creator," Asaeda, Toshio, 1893-1974","Asaeda, Toshio"
Creator," Asaeda, Toshio, 1893-1975","Asaeda, Toshio"
Creator," Asaeda, Toshio, 1893-1976","Asaeda, Toshio"
Creator," Asaeda, Toshio, 1893-1977","Asaeda, Toshio"
Creator," Asaeda, Toshio, 1893-1978","Asaeda, Toshio"
Creator," Asaeda, Toshio, 1893-1979","Asaeda, Toshio"
Creator," Asaeda, Toshio, 1893-1981","Asaeda, Toshio"
Creator," Asaeda, Toshio, 1893-1982","Asaeda, Toshio"
Creator," Asaeda, Toshio, 1893-1983","Asaeda, Toshio"
Creator," Asaeda, Toshio, 1893-1984","Asaeda, Toshio"
Creator," Asaeda, Toshio, 1893-1985","Asaeda, Toshio"
Creator," Asaeda, Toshio, 1893-1986","Asaeda, Toshio"
Creator," Asaeda, Toshio, 1893-1987","Asaeda, Toshio"
Creator," Asaeda, Toshio, 1893-1988","Asaeda, Toshio"
Creator," Asaeda, Toshio, 1893-1989","Asaeda, Toshio"
Creator," Asaeda, Toshio, 1893-1990","Asaeda, Toshio"
Creator," Asaeda, Toshio, 1893-1991","Asaeda, Toshio"
Creator," Asaeda, Toshio, 1893-1992","Asaeda, Toshio"
Creator," Asaeda, Toshio, 1893-1993","Asaeda, Toshio"
Creator," Asaeda, Toshio, 1893-1994","Asaeda, Toshio"
Creator," Asaeda, Toshio, 1893-1995","Asaeda, Toshio"
Creator, Associated Press,Associated Press
Creator, Attributed to Arthur L. Bolton,"Bolton, Arthur L."
Creator," Audubon, John James, 1785-1851","Audubon, John James"
Creator," Audubon, John James, 1785-1852","Audubon, John James"
Creator," Audubon, John James, 1785-1853","Audubon, John James"
Creator, B. Castillo 07 May 2001,"Castillo, B."
Creator, B. Holmes 21 Apr 1997,"Holmes, B."
Creator, B. Sirenko 21 Jul 1971,"Sirenko, B."
Creator, B. Sirenko 23 Oct 1972,"Sirenko, B."
Creator," Baele, Alexandra","Baele, Alexandra"
Creator," Baird, Spencer Fullerton,�1823-1887","Baird, Spencer Fullerton"
Creator," Bam, Foster","Bam, Foster"
Creator," Bates, W. L.","Bates, W. L."
Creator," Beck, Rollo H.","Beck, Rollo Howard"
Creator," Beck, Rollo H.","Beck, Rollo Howard"
Creator," Beck, Rollo H., attributed","Beck, Rollo Howard"
Creator," Beck, Rollo H., attributed","Beck, Rollo Howard"
Creator," Beck, Rollo H., attributed","Beck, Rollo Howard"
Creator," Beck, Rollo H., attributed","Beck, Rollo Howard"
Creator," Beck, Rollo H.; attributed","Beck, Rollo Howard"
Creator," Beck, Rollo Howard, 1870- 1950","Beck, Rollo Howard"
Creator, Beebe,"Beebe, Charles William"
Creator," Bell, Thomas, 1792-1880","Bell, Thomas"
Creator," Bell, Thomas, 1792-1880.","Bell, Thomas"
Creator, Ben (Philippino dive master) 20 Feb 1992,
Creator," Berryhill, Lionel T.","Berryhill, Lionel T."
Creator," Berryhill, Lionel T.","Berryhill, Lionel T."
Creator," Berryhill, Lionel T.?","Berryhill, Lionel T."
Creator," Bibliograph. Institut, Leipzig.",Bibliographisches Institut Lepzig
Creator, Botany Department,Botany Department
Creator," Bowman, Margaret","Bowman, Margret"
Creator," Bowman, Margret","Bowman, Margret"
Creator, Boye,Boye
Creator, Britton  Rey,Britton & Rey
Creator," Bunnel, A. Sterling","Bunnell, A. Sterling"
Creator," Bunnell, A. Sterling","Bunnell, A. Sterling"
Creator, C. Spence Bate,"Bate, C. Spence"
Creator, C.B. Hudson,"Hudson, Charles Bradford"
Creator, California Academy of Sciences,California Academy of Sciences
Creator, California Academy of Sciences.,California Academy of Sciences
Creator," Cantelow, Herbert","Cantelow, Herbert"
Creator, CAS,California Academy of Sciences
Creator," Castelnau, Francis, comte de, 1812-1880","Castelnau, Francis"
Creator," Castelnau, Francis, comte de, 1812-1890","Castelnau, Francis"
Creator," Castro, Alfred D.","Castro, Alfred D."
Creator, Catala,Catala
Creator," Catesby, Mark, 1683-1749","Catesby, Mark"
Creator," Catesby, Mark, 1683-1750","Catesby, Mark"
Creator," Cerkel, David","Cerkel, David"
Creator," Charnow, Marc","Charnow, Marc"
Creator," Christie, J.B.","Christie, J.B."
Creator, Clay Carlson 24 Apr 1997,"Carlson, Clay"
Creator," Cleaves, Howard Henderson, 1887-","Cleaves, Howard Henderson"
Creator, Clements,Clements Studio
Creator," Cole, Michael","Cole, Michael"
Creator, Coll. A.  J. DeRoy 27 Jan 1968,"DeRoy, Coll. A. J."
Creator, Connie Boone 6 Apr 1989,"Boone, Connie"
Creator," Constance, Lincoln","Constance, Lincoln"
Creator," Corsi, Buff and Gerald","Corsi, Buff and Gerald"
Creator, Cristof Studio,Cristof Studio
Creator," Crocker, Templeton, 1884-1948","Crocker, Templeton"
Creator," Cunningham, Imogen","Cunningham, Imogen"
Creator," Curtis, William, 1746-1799","William, Curtis"
Creator, Cynthia Trowbridge 9 Jul 1990,"Trowbridge, Cynthia"
Creator, D.P. Abbott 9 Feb 1949,"Abbott, D.P."
Creator, Daily News,Daily News
Creator," Daniel, Thomas F., 1954-","Daniel, Thomas F."
Creator," Daniel, Thomas F., 1954-�","Daniel, Thomas F."
Creator," Darwin, Charles, 1809-1882","Darwin, Charles"
Creator, Davis,Davis
Creator," De?zallier d'Argenville, A.-J. (Antoine-Joseph), 1680-1765","De?zallier d'Argenville, Antoine-Joseph"
Creator," De?zallier d'Argenville, A.-J. (Antoine-Joseph), 1680-1766","De?zallier d'Argenville, Antoine-Joseph"
Creator," Dodd, Mead  Co.","Dodd, Mead and Company"
Creator, Don Shasky 16 Apr 1993,"Shasky, Don"
Creator, Don Wobber Jan 1968,"Wobber, Don"
Creator, Don Wobber Sep 1965,"Wobber, Don"
Creator, Donald G. Kelley,"Kelley, Donald G."
Creator," Donovan, E. (Edward), 1768-1837","Donovan, Edward"
Creator," Donovan, E. (Edward), 1768-1838","Donovan, Edward"
Creator, Dorsaz,Dorsaz
Creator, Dr. Brugiere,"Bruguiere, Peder Sother"
Creator, Dr. Peder (Sother) Bruguiere,"Bruguiere, Peder Sother"
Creator, Dr.Carl B. Wolf,"Wolf, Carl B."
Creator," Drawn by Capt. T. Brown, engraved by R. Scott","Brown,T. ; Scott, R."
Creator," Drewes, Robert C.","Drewes, Robert C."
Creator, du Charme of SF,du Charme of SF
Creator," Duperrey, Louis Isidore","Duperrey, Louis Isidore"
Creator," Duperrey, Louis-Isidore, 1786-1866","Duperrey, Louis Isidore"
Creator, E. Iverson  E. Fulkerson 24 Mar 1974,"Iverson, E. ; Fulkerson, E."
Creator, E.B. Hunter 30 May 1953,"Hunter, E.B."
Creator," E.F. Clements, 85 Bluxome St., San Francisco 7, Calif.","Clements, E.F."
Creator," E.F. Clements, 85 Bluxome St., San Francisco, Calif. 94107","Clements, E.F."
Creator," Eisen, Gustav","Eisen, Gustav"
Creator," Eisen, Gustavus A., 1847-1940","Eisen, Gustav"
Creator, Elite,Elite
Creator, Elmer Moss,"Moss, Elmer"
Creator," Emerson, William Otto","Emerson, William Otto"
Creator, Emrik  Binger,Emrik Binger
Creator, en Lucas,en Lucas
Creator," English, Edith Hardin","English, Edith Hardin"
Creator, Eric Anderson 7 Oct 1974,"Anderson, Eric"
Creator, Evelina Marcus,"Marcus, Evelina"
Creator," Everman, Barton W. Marsh, Millard C.","Evermann, Barton Warren; Marsh, Millard C."
Creator," Evermann, Barton Warren, 1853-1932","Evermann, Barton Warren"
Creator, F. B. Steiner 11 Oct 1974,"Steiner, F. B."
Creator, F. Moore,"Moore, F."
Creator," F. Wells 16, 17 Aug 1976","Wells, F."
Creator, F.B. Howard Jun 1960,"Howard, Faye B."
Creator, F.B. Steiner 13 Jun 1973,"Steiner, F. B."
Creator, F.H Herrick,"Herrick, F.H"
Creator, Fardon #421,Fardon #421
Creator," Faulkner, D","Faulkner, D"
Creator, Faye Howard  Gale Sphon 4-6 Jan 1962,"Howard, Faye B.; Sphon, Gale"
Creator, Faye Howard Dec 1960,"Howard, Faye B."
Creator," Fiorito, Charlotte","Fiorito, Charlotte"
Creator, Fireside Studio,Fireside Studio
Creator," Fiske, George","Fiske, George"
Creator," Fitzroy, Robert, 1805-1865","Fitzroy, Robert"
Creator," Frank, Phil","Frank, Phil"
Creator, From Cyclopedia published by Longman  Rees,"Longman, Hurst, Rees, Orme, and Brown"
Creator," From Cyclopedia published by Longman, Hurst, Rees  Orme","Longman, Hurst, Rees, Orme, and Brown"
Creator," From Cyclopedia published by Longman, Hurst, Rees  Orme","Longman, Hurst, Rees, Orme, and Brown"
Creator," From Cyclopedia published by Longman, Hurst, Rees, Orme   Brown","Longman, Hurst, Rees, Orme, and Brown"
Creator," Furneaux, W.","Furneaux, W."
Creator, G Dallas Hanna Jul 1947,"Hanna, G. Dallas"
Creator, G. Allan Hancock,"Hancock, George Allan"
Creator, G. Williamson 15 Jan 1988,"Williamson, G."
Creator, G.D. Hanna 1-4 Jul 1947,"Hanna, G. Dallas"
Creator, G.M. Wellington 1 May 1975,"Wellington, Gerard M."
Creator, Gabriel Moulin,"Moulin, Gabriel"
Creator, Gabriel Moulin Studios,Gabriel Moulin Studios
Creator," Gallegos, Jose M., d.1925","Gallegos, Jose M."
Creator, Gary McDonald 21 Jul 1978,"McDonald, Gary"
Creator, George Metz,"Metz, George"
Creator, George Metz Apr 1993,"Metz, George"
Creator," Gifford, Edward Winslow","Gifford, Edward Winslow"
Creator," Gifford, Edward Winslow, 1887-1959","Gifford, Edward Winslow"
Creator," Giles, Maurice","Giles, Maurice"
Creator," Giordano, Ann","Giordano, Ann"
Creator," Goldfuss, Georg August, 1782-1848.","Goldfuss, Georg August"
Creator," Gomez, Lloyd","Gomez, Lloyd"
Creator, Gordon MacGregor negatives,"MacGregor, Gordon"
Creator," Gosliner, Pisor  Boone 7 Apr 1989","Gosliner, Pisor Boone"
Creator," Gould, Augustus A. (Augustus Addison), 1805-1866","Gould, Augustus Addison"
Creator," Gould, John, 1804-1881","Gould, John"
Creator," Guillermo Wagner Granizo, aka William �Bill� J. Wagner (1923-1997)","Granizo, Guillermo Wagner"
Creator," Gu?nther, Albert C. L. G. (Albert Carl Ludwig Gotthilf), 1830-1914","Gu?nther, Albert Carl Ludwig Gotthilf"
Creator, H.N. Lowe 1934,"Lowe, H.N."
Creator," Hanan, Frances Elizabeth","Hanan, Frances Elizabeth"
Creator, Hank Chaney 5 Apr 1990,"Chaney, Hank"
Creator," Hansen, Richard B.","Hansen, Richard B."
Creator, Hartsook,Hartsook
Creator," Henderson, Edward George","Henderson, Edward George"
Creator," Herald, Earl S.","Herald, Earl Stannard"
Creator," Herald, Earl. S.","Herald, Earl Stannard"
Creator," Hicok, Irving D.","Hicok, Irving D."
Creator," Hobart, Lewis P.","Hobart, Lewis P."
Creator, Hodson,Hodson
Creator, Howard  Sphon Jan 1962,"Sphon, Howard"
Creator," Huber, Walter Leroy, 1883-1960","Huber, Walter Leroy"
Creator," Hudson, Charles Bradford","Hudson, Charles Bradford"
Creator," Humboldt, Al. von, 1769-1859","Humboldt, Al. von"
Creator," Humphrey Jr., William E.","Humphrey Jr., William E."
Creator," Ingles, Lloyd Glenn","Ingles, Lloyd Glenn"
Creator, J. Mizeu 23 Jan 1988,"Mizeu, J."
Creator, J. Pearse ?,"Pearse, J."
Creator," J.E. McCosker, M.D. Lagios, L. Gunther 8 Feb 1975","McCosker, John E. ; Lagios, L. Gunther"
Creator, Jacqueline DeRoy 14 Jan 1967,"DeRoy, Jacqueline"
Creator, James Vallec/Rimmon Faye 7 Oct 1981,"Vallec, James ; Faye, Rimmon"
Creator, Jerry Allen 24 Feb 1992,"Allen, Jerry"
Creator, Jerry Allen 29 Mar 1993,"Allen, Jerry"
Creator, K. Kaiser 23 Mar 1989,"Kaiser, Kirstie"
Creator, K. Radford 02 Dec 1963,"Radford, K."
Creator, K.H. Barnard?,"Barnard, K.H."
Creator, Karl. W. Kenyon Sep 1955,"Kenyon, Karl. W."
Creator," Kavanaugh, David H.","Kavanaugh, David H."
Creator," Keeler, Charles","Keeler, Charles"
Creator," Kellogg, Drake, Schmelzer 1 Nov 1975","Kellogg, Drake, Schmelzer"
Creator," Kevie, Melvin","Kevie, Melvin"
Creator," Kidder, K. P.","Kidder, K. P."
Creator," Killip, E.P.","Killip, E.P."
Creator," Kinter, Dean","Kinter, Dean"
Creator, Kirstie Kaiser 19 Feb 1988,"Kaiser, Kirstie"
Creator," Knoche, Herman","Knoche, Herman"
Creator," Kopp, Caroline","Kopp, Caroline"
Creator," Krause, Ernst, 1839-1903","Krause, Ernst"
Creator," L. Barr, Budke, and Karinen 12 Jun 1973","L. Barr, Budke, and Karinen 12 Jun 1973"
Creator, L. S. Rose,"Rose, Lewis Samuel"
Creator," Lacer, R.","Lacer, Rich"
Creator," Lacer, Rich","Lacer, Rich"
Creator," Laing, R. B.","Laing, R. B."
Creator, Larry Eng 13 Nov 1973,"Eng, Larry"
Creator, Lawrence Andrews 12 May 1963,"Andrews, Lawrence"
Creator, Lawrence V. Compton,"Compton, Lawrence V."
Creator, Leman,Leman
Creator, Leo G. Hertlein 13 Jan 1932,"Hertlein, Leo George"
Creator," Leung, Charmagne","Leung, Charmagne"
Creator," Liebes, Arnold Lloyd, 1889-","Liebes, Arnold Lloyd"
Creator," Liebes, Arnold Lloyd, 1889-","Liebes, Arnold Lloyd"
Creator," Lin, Daniel","Lin, Daniel"
Creator," Lin, Dong","Lin, Dong"
Creator," Linden, Jean Jules, 1817-1898.","Linden, Jean Jules"
Creator, Lizars sc (engravers?),Lizars sc
Creator, Lloyd Ullberg,"Ullberg, Lloyd"
Creator," Lon, Dong","Lon, Dong"
Creator," Lucas, Kenneth","Lucas, Kenneth"
Creator," Lundberg, Jan","Lundberg, Jan"
Creator, M. Campbell 16 Jun 1988,M. Campbell 16 Jun 1988
Creator, M. Ghiselin 12 Feb 1986,"Ghiselin, Michael T."
Creator, M. Ghiselin 8 Feb 1986,"Ghiselin, Michael T."
Creator, M. Jebb 20 Jul 1989,"Jebb, Matthew"
Creator, M. Jebb 6 Jun 1992,"Jebb, Matthew"
Creator, M. Miller 17 Apr 1996,"Miller, M."
Creator, M. Miller 23 Feb 1995,"Miller, M."
Creator, M. Miller 25 Feb 1992,"Miller, M."
Creator, M. Neushul 11 Feb 1958,"Neushul, M."
Creator, M. Severns 14 Mar 1994,"Severns, M."
Creator, M. Woodbridge Williams 7 Dec 1946,"Williams, Milo Woodbridge"
Creator, M.D. Miller 28 Oct 2000,"Miller, M.D."
Creator, M.J. Adams 12 May 2001,"Adams, M.J."
Creator, M.L. Gosliner 3 Apr 1994,"Gosliner, M.L."
Creator, M.T. Ghiselin 2/28/1995,"Ghiselin, Michael T."
Creator," Maillard, Joseph","Maillard, Joseph"
Creator," Mailliard, Joseph","Maillard, Joseph"
Creator," Mannix, Daniel P.","Mannix, Daniel P."
Creator, Mark Chamberlain 22 Feb 1992,"Chamberlain, Mark"
Creator," Mark Chamberlain, Mike Miller 22 Feb 1992","Chamberlain, Mark; Miller, Mike"
Creator," McCormick, Andrew","McCormick, Andrew"
Creator," McCosker, John","McCosker, John"
Creator," McHugh, Tom","McHugh, Tom"
Creator, McLean Jan 1974,McLean Jan 1974
Creator," Mee, Jonathan","Mee, Jonathan"
Creator," Mexia, Inez","Mexia, Ynes"
Creator," Mexia, Ynes, 1870-1938","Mexia, Ynes"
Creator," Middelton, Susan","Middelton, Susan"
Creator," Middleton, Susan","Middelton, Susan"
Creator, Mike Severns 24 Apr 1992,"Severns, Mike"
Creator, Minasian/Winning,Minasian/Winning
Creator, Morton,Morton Photographs
Creator, Morton Photographs,Morton Photographs
Creator," Moss, Elmer","Moss, Elmer"
Creator," Moss, Elmer ?","Moss, Elmer"
Creator, Moss. Elmer,"Moss, Elmer"
Creator, Moulin,"Moulin, Gabriel"
Creator, Moulin Studios,Moulin Studios
Creator," Moulin, Gabriel","Moulin, Gabriel"
Creator," Moulin, Gabriel","Moulin, Gabriel"
Creator," Moulin, Gabriel.","Moulin, Gabriel"
Creator, Mrs. Harold (Kay) Gudnasun 3 Oct 1973,"Gudnasun, Kay"
Creator," N.M. Tourism  Travel Div., Commerce  Industry Dept.",New Mexico Tourism Department
Creator," Oliver, M.K.","Oliver, M.K."
Creator, Operations department,Operations department
Creator, Operations department.,Operations department
Creator," Orr, Robert","Orr, Robert T."
Creator," Ottens, R.  J.","Ottens, R.J."
Creator, P. Fiene 10 May 1991,"Fiene-Severns, Pauline"
Creator, P. Fiene 10 May 1992,"Fiene-Severns, Pauline"
Creator, P. Fiene 12 May 1991,"Fiene-Severns, Pauline"
Creator, P. Fiene 16 May 1991,"Fiene-Severns, Pauline"
Creator, P. Fiene 17 May 1991,"Fiene-Severns, Pauline"
Creator, P. Fiene 23 May 1991,"Fiene-Severns, Pauline"
Creator, P. Fiene 24 Apr 1992,"Fiene-Severns, Pauline"
Creator, P. Fiene 25 Apr 1992,"Fiene-Severns, Pauline"
Creator, P. Fiene 26 Apr 1992,"Fiene-Severns, Pauline"
Creator, P. Fiene 28 Apr 1992,"Fiene-Severns, Pauline"
Creator, P. Fiene 8 May 1992,"Fiene-Severns, Pauline"
Creator, P. Fiene May 1991,"Fiene-Severns, Pauline"
Creator, P. Fiene-Severns 29 May 1993,"Fiene-Severns, Pauline"
Creator, P. V. Ushakov [sic] 1932,"Ushakov, P. V."
Creator, Pacific Novelty Company.,Pacific Novelty Company
Creator," Patton, J.","Patton, Jim"
Creator," Patton, Jim","Patton, Jim"
Creator, Paul Gregory 5 May 1965,"Gregory, Paul"
Creator, Pauline Fiene 11 May 1991,"Fiene-Severns, Pauline"
Creator, Pauline Fiene 19 Oct 1993,"Fiene-Severns, Pauline"
Creator, Pauline Fiene 2 Nov 1993,"Fiene-Severns, Pauline"
Creator, Pauline Fiene 20 May 1991,"Fiene-Severns, Pauline"
Creator, Pauline Fiene 26 Oct 1993,"Fiene-Severns, Pauline"
Creator, Pauline Fiene 29 Oct 1993,"Fiene-Severns, Pauline"
Creator, Pauline Fiene 3 Nov 1993,"Fiene-Severns, Pauline"
Creator, Pauline Fiene 3 Oct 1992,"Fiene-Severns, Pauline"
Creator, Pauline Fiene 31 Oct 1993,"Fiene-Severns, Pauline"
